Bit Width,Algorithm,Execution Time,CPU Usage,Memory Usage
512,Montgomery,5.999987479299307e-06,13.9,26.51953125
512,Barrett,7.99997360445559e-06,13.1,26.51953125
512,Montgomery,5.3000112529844046e-06,14.6,26.51953125
512,Barrett,3.070000093430281e-05,17.7,26.51953125
512,Montgomery,8.200004231184721e-06,16.0,26.51953125
512,Barrett,6.400019628927112e-06,15.5,26.51953125
512,Montgomery,5.299982149153948e-06,13.9,26.51953125
512,Barrett,8.100003469735384e-06,13.5,26.51953125
512,Montgomery,5.3000112529844046e-06,15.3,26.51953125
512,Barrett,8.000002708286047e-06,13.9,26.51953125
512,Montgomery,6.89999433234334e-06,13.8,26.51953125
512,Barrett,1.0199990356341004e-05,14.3,26.51953125
512,Montgomery,6.599992047995329e-06,13.8,26.51953125
512,Barrett,7.300026481971145e-06,14.0,26.51953125
512,Montgomery,5.5000127758830786e-06,16.5,26.51953125
512,Barrett,8.99998121894896e-06,16.2,26.51953125
512,Montgomery,6.700021913275123e-06,13.6,26.5234375
512,Barrett,7.499998901039362e-06,15.0,26.5234375
512,Montgomery,5.3000112529844046e-06,14.2,26.5234375
512,Barrett,7.199996616691351e-06,15.3,26.5234375
512,Montgomery,5.2000104915350676e-06,15.1,26.5234375
512,Barrett,7.299997378140688e-06,13.9,26.5234375
512,Montgomery,6.099988240748644e-06,14.3,26.5234375
512,Barrett,7.499998901039362e-06,13.6,26.5234375
512,Montgomery,5.799985956400633e-06,15.4,26.5234375
512,Barrett,1.069999416358769e-05,13.6,26.5234375
512,Montgomery,5.89998671784997e-06,13.7,26.5234375
512,Barrett,7.199996616691351e-06,14.9,26.5234375
512,Montgomery,4.9000082071870565e-06,13.5,26.5234375
512,Barrett,7.899972843006253e-06,14.9,26.5234375
512,Montgomery,5.80001506023109e-06,16.8,26.5234375
512,Barrett,8.200004231184721e-06,14.0,26.5234375
512,Montgomery,6.099988240748644e-06,14.0,26.5234375
